"symbol","date","adjusted","sma_50","buy_or_sell","shares_owned","invested","savings_account_balance","profit"
"SPY",1998-03-31,73.592384,69.3886987,0,1290.39696776804,82317.2809757159,0,0
"SPY",1998-04-30,74.533752,72.72228682,0,1303.81370814628,83317.2809757159,0,0
"SPY",1998-05-29,72.985748,74.23649214,1,0,0,96159.8187417097,11842.5377659938
"SPY",1998-06-30,76.093018,74.35078836,0,1276.85589684075,97159.8187417097,0,0
"SPY",1998-07-31,75.064751,75.79300886,1,0,0,96846.8699592329,-1312.94878247674
"SPY",1998-08-31,64.467117,75.1516077000001,1,0,0,97846.8699592329,0
"SPY",1998-09-30,68.569725,71.48991758,1,0,0,98846.8699592329,0
"SPY",1998-10-30,74.129456,69.51912336,0,1346.92570736298,99846.8699592329,0,0
"SPY",1998-11-30,78.257156,72.83556992,0,1359.70409148928,100846.869959233,0,0
"SPY",1998-12-31,83.3769,77.94662376,0,1371.69782116741,101846.869959233,0,0
"SPY",1999-01-29,86.313889,81.70846744,0,1383.28344210959,102846.869959233,0,0
"SPY",1999-02-26,83.545898,83.7370343,1,0,0,116567.657359577,12720.7874003441
"SPY",1999-03-31,87.010376,85.5344528600001,0,1351.19123447504,117567.657359577,0,0
"SPY",1999-04-30,90.314575,88.2424504400001,0,1362.26364443766,118567.657359577,0,0
"SPY",1999-05-28,88.249458,90.03393594,1,0,0,121219.028274728,1651.37091515103
"SPY",1999-06-30,93.136604,90.45960084,0,1312.25557971523,122219.028274728,0,0
"SPY",1999-07-30,90.247345,91.43975068,1,0,0,119427.582030736,-3791.44624399247
"SPY",1999-08-31,89.779907,91.9670640400001,1,0,0,120427.582030736,0
"SPY",1999-09-30,87.774513,90.4129659800001,1,0,0,121427.582030736,0
"SPY",1999-10-29,93.398903,89.7388232400001,0,1310.8032117972,122427.582030736,0,0
"SPY",1999-11-30,94.95414,91.2085885800001,0,1321.33461148131,123427.582030736,0,0
"SPY",1999-12-31,100.3769,95.4407342200001,0,1331.29706300153,124427.582030736,0,0
"SPY",2000-01-31,95.379395,97.4933186200001,1,0,0,127978.308434362,2550.72640362676
"SPY",2000-02-29,93.927124,96.8850601400001,1,0,0,128978.308434362,0
"SPY",2000-03-31,103.030037,96.9751262000001,0,1261.55742751371,129978.308434362,0,0
"SPY",2000-04-28,99.411575,98.4605468600001,0,1271.61661830714,130978.308434362,0,0
"SPY",2000-05-31,97.848541,99.5329808200001,1,0,0,125425.830812707,-6552.47762165517
