"symbol","date","adjusted","sma_50","invested","shares","total_shares_value","profit"
"SPY",2000-12-29,90.598694,93.8385094600001,93000,1994.71764428628,180718.813471094,87718.8134710939
"SPY",2001-01-31,94.626579,92.1558400000001,94000,2005.2854996454,189753.30674975,95753.30674975
"SPY",2001-02-28,85.600418,91.2283117600001,95000,2016.96768558987,172653.276978985,77653.2769789852
"SPY",2001-03-30,80.803619,87.4520692400001,96000,2029.34336891167,163978.288401715,67978.2884017154
"SPY",2001-04-30,87.707458,83.1979325200001,97000,2040.74490787772,178988.548296399,81988.5482963992
"SPY",2001-05-31,87.215889,84.5828032800001,98000,2052.21070856457,178985.381362779,80985.3813627786
"SPY",2001-06-29,85.137527,87.0130901800001,99000,2063.95641031604,175720.144610105,76720.144610105
"SPY",2001-07-31,84.26947,85.6224749600001,1e+05,2075.82310414953,174928.512800435,74928.5128004353
"SPY",2001-08-31,79.269585,83.1668609400001,101000,2088.43828309868,165549.635999345,64549.6359993446
"SPY",2001-09-28,72.798759,79.7599805000001,102000,2102.17478099694,153035.715257674,51035.7152576744
"SPY",2001-10-31,73.746712,75.9136555800001,103000,2115.73470757374,156028.478147845,53028.4781478448
"SPY",2001-11-30,79.497299,76.2813017200001,104000,2128.31375129697,169195.194652667,65195.1946526671
"SPY",2001-12-31,79.945602,78.8894549800002,105000,2140.82225676798,171149.324092315,66149.3240923148
"SPY",2002-01-31,79.162247,80.0820607000001,106000,2153.45454094253,170472.300273364,64472.3002733643
"SPY",2002-02-28,77.742363,79.0272984000001,107000,2166.31754074613,168414.644625953,61414.6446259526
"SPY",2002-03-28,80.328934,79.1566875200001,108000,2178.76635526668,175017.978753638,67017.9787536379
"SPY",2002-04-30,75.657356,79.1752091400001,109000,2191.98384068872,165839.701781234,56839.7017812338
"SPY",2002-05-31,75.208427,77.4789710400001,110000,2205.28022302098,165855.656667617,55855.6566676173
"SPY",2002-06-28,69.657471,74.3405162800001,111000,2219.63618492491,154614.243181958,43614.2431819576
"SPY",2002-07-31,64.167099,68.8130469400001,112000,2235.2204955075,143427.614822059,31427.6148220591
"SPY",2002-08-30,64.603523,64.7813046800001,113000,2250.69952751014,145403.11869159,32403.1186915904
"SPY",2002-09-30,57.829685,62.6683789000001,114000,2267.99168464363,131157.24470556,17157.2447055602
"SPY",2002-10-31,62.588123,61.7662258200001,115000,2283.969156919,142949.342521452,27949.3425214525
"SPY",2002-11-29,66.448624,62.0781986800002,116000,2299.0183775018,152766.607735707,36766.6077357074
